relative_path,slug,title,category,status,repository,file_page_url,source_url,author,license,license_url,attribution_required,restrictions,brand_source,notes
Computer/Program/Zbrush/index.svg,technology/computer/program/zbrush,Zbrush,Program,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AZBrush_icon_new.svg,https://upload.wikimedia.org/wikipedia/commons/9/95/ZBrush_icon_new.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Hajj 3,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,,,
Computer/Programming/Index.jpg,technology/computer/programming,Programming,Programming,replaced,Pexels,https://www.pexels.com/photo/photo-of-turned-on-laptop-computer-943096/,https://images.pexels.com/photos/943096/pexels-photo-943096.jpeg,Danny Meneses,Pexels License,https://www.pexels.com/license/,no,,,matched to Original/business-code-coding-943096.jpg
Computer/Programming/Ajax/index.svg,technology/computer/programming/ajax,Ajax,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AAJAX_logo_by_gengns.svg,https://upload.wikimedia.org/wikipedia/commons/a/a1/AJAX_logo_by_gengns.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Gengns-Genesis,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,,,
Computer/Programming/Android/index.svg,technology/computer/programming/android,Android,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/android.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/android.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://partnermarketinghub.withgoogle.com/brands/android/visual-identity/visual-identity/logo-lock-ups,
Computer/Programming/Angular/index.svg,technology/computer/programming/angular,Angular,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/angular.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/angular.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://angular.dev/press-kit,
Computer/Programming/Awk/index.jpg,technology/computer/programming/awk,Awk,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3ALogo_AWK_RGB_klein.png,https://upload.wikimedia.org/wikipedia/commons/c/cc/Logo_AWK_RGB_klein.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,PeterGabrielAWK,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,,,
Computer/Programming/Cpp/index.svg,technology/computer/programming/cpp,Cpp,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/cplusplus.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/cplusplus.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://github.com/isocpp/logos/tree/64ef037049f87ac74875dbe72695e59118b52186,
Computer/Programming/Css/index.svg,technology/computer/programming/css,Css,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/css.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/css.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://github.com/CSS-Next/logo.css/blob/bacc20878227204b283c68a6b935f8279e06b0cd/css.svg,
Computer/Programming/Firebase/index.svg,technology/computer/programming/firebase,Firebase,Programming,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/firebase.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/firebase.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://firebase.google.com/brand-guidelines,
Computer/Programming/Ftp/index.jpg,technology/computer/programming/ftp,Ftp,Programming,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AMacfusionIcon.png,https://upload.wikimedia.org/wikipedia/commons/d/d1/MacfusionIcon.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Milli Jolic,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,yes,,,
